"project_id","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","ad_purpose_codes","ad_purpose_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements"
"SL/000935","1","Security Sector Reform Programme","2006-10-10","start-actual","2008-04-01","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","152","Conflict prevention and resolution, peace and security","15205","Conflict prevention and resolution, peace and security, purpose unspecified or does not fit under any other applicable codes","Completion","2006","2008","20125772.0","20125771.0"
"SL/000947","1","Rehabilitation of Basic Education","2003-02-24","start-actual","2010-12-31","end-actual","World Bank|IDA","DAC","Sierra Leone","SLE","112","Basic education","11220","Primary education","Completion","2003","2010","30760961.0","30760839.0"
"SL/000950","1","HIV/AIDS Response Project (SHARP)","2002-03-25","start-actual","2009-12-30","end-actual","World Bank","DAC","Sierra Leone","SLE","130","Population Policies / Programmes and Reproductive Health","13040","STD control including HIV/AIDS","Completion","2002","2009","4194452.0","4194452.0"
"SL/000954","1","Law Development Project","1998-10-01","start-actual","2004-03-01","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","151","Government and civil society, general","15130","Legal and judicial development","Completion","1998","2004","3590701.0","674223.0"
"SL/000958","1","Public Sector Reform Programme","2008-05-01","start-actual","2012-02-01","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","151","Government and civil society, general","15140","Government administration","Completion","2008","2012","772200.0","769336.0"
"SL/000971","1","Re-integration of Ex-Combatants through capacity building","2002-06-01","start-actual","2008-12-31","end-actual","UNDP|Government of Japan","DAC|JPN","Sierra Leone","SLE","160","Other Social Infrastructure and Services","16010","Social/ welfare services","Completion","2002","2008","924611.0","362386.0"
"SL/000972","1","4Rs Transitional Project","2003-01-01","start-actual","2005-12-31","end-actual","UNDP","DAC","Sierra Leone","SLE","151","Government and civil society, general","15140","Government administration","Completion","2003","2005","438333.0","457803.0"
"SL/000975","1","Bridge-support for the general elections","2007-07-20","start-actual","2008-04-30","end-actual","Peacebuilding Fund","DAC","Sierra Leone","SLE","151","Government and civil society, general","15150","Strengthening civil society","Completion","2007","2008","1706065.0","1699467.0"
"SL/000976","1","Capacity Building of the Human Right Commission of SL","2007-07-17","start-actual","2010-12-31","end-actual","Peacebuilding Fund","DAC","Sierra Leone","SLE","151","Government and civil society, general","15150","Strengthening civil society","Completion","2007","2010","1600710.0","1600710.0"
"SL/000977","1","Communications and Public Relations Activities","2006-01-20","start-actual","2010-12-31","end-actual","UNDP","DAC","Sierra Leone","SLE","220","Communications","22030","Radio/television/print media","Completion","2006","2010","1130058.0","1130058.0"
"SL/000978","1","Emergency Support to Security Sector","2007-07-19","start-actual","2008-07-18","end-actual","Peacebuilding Fund","DAC","Sierra Leone","SLE","151|151|152","Government and civil society, general|Government and civil society, general|Conflict prevention and resolution, peace and security","15130|15130|15210","Legal and judicial development|Legal and judicial development|Security system management and reform","Completion","2007","2008","1945208.0","1938868.0"
"SL/000982","1","Improved Public Order Management Capacity","2007-05-18","start-actual","2009-03-01","end-actual","Peacebuilding Fund","DAC","Sierra Leone","SLE","151","Government and civil society, general","15130","Legal and judicial development","Completion","2007","2009","1363148.0","1087689.0"
"SL/000983","1","Capacity Development of the Justice System to prevent delays in trials and to clear backlog cases","2007-07-09","start-actual","2009-07-09","end-actual","Peacebuilding Fund","DAC","Sierra Leone","SLE","151","Government and civil society, general","15130","Legal and judicial development","Completion","2007","2009","5176797.0","4196154.0"
"SL/000984","1","Bio Diversity  MSP Phase II - National Reporting to CBD","2005-11-17","start-actual","2008-12-31","end-actual","Global Environment Facility","DAC","Sierra Leone","SLE","410","General environmental protection","41005","General environmental protection,purpose unspecified","","2005","2008","40809.0","169661.0"
"SL/000986","1","Self Assessment Exercise - 2nd National Comm UNFCCC","2007-03-15","start-actual","2012-12-31","end-actual","Global Environment Facility","DAC","Sierra Leone","SLE","410","General environmental protection","41005","General environmental protection,purpose unspecified","","2007","2012","807693.0","437060.0"
"SL/000988","1","Support to the Special Court Sierra Leone","2008-06-01","start-actual","2009-05-30","end-actual","Irish Aid","IRL","Sierra Leone","SLE","151","Government and civil society, general","15130","Legal and judicial development","Completion","2008","2009","489444.0","470970.0"
"SL/000989","1","Averting Maternal and Newborn Morbidity and Mortality in Kenema, Sierra Leone","2008-08-01","start-actual","2008-11-30","end-actual","Irish Aid","IRL","Sierra Leone","SLE","130","Population Policies / Programmes and Reproductive Health","13020","Reproductive health care","Completion","2008","2008","211936.0","211936.0"
"SL/000990","1","Capacity Development for National Implementation","2006-01-11","start-actual","2008-12-31","end-actual","UNDP","DAC","Sierra Leone","SLE","151","Government and civil society, general","15140","Government administration","","2006","2008","854324.0","515558.0"
"SL/000993","1","Local Government Elections 2008","2008-01-16","start-actual","2009-12-31","end-actual","European Union (EU)","DAC","Sierra Leone","SLE","151","Government and civil society, general","15150","Strengthening civil society","Completion","2008","2009","782106.0","782106.0"
"SL/000994","1","Protecting Right of Vulnerable Groups / Capacity Development of CSOs","2008-01-01","start-actual","2009-12-31","end-actual","UNDP","DAC","Sierra Leone","SLE","151","Government and civil society, general","15150","Strengthening civil society","Completion","2008","2009","208797.0","205486.0"
"SL/000995","1","Support to Office of the President","2008-01-01","start-actual","2011-12-31","end-actual","UNDP","DAC","Sierra Leone","SLE","151","Government and civil society, general","15141","Government administration","Completion","2008","2011","1700451.0","1654682.0"
"SL/000996","1","Support to Access to Justice","2008-01-01","start-actual","2013-12-31","end-actual","UNDP|Government of Italy|Peacebuilding Fund","ITA|DAC","Sierra Leone","SLE","151","Government and civil society, general","15130","Legal and judicial development","Implementation","2008","2013","6123754.0","4616491.0"
"SL/000997","1","Support to African Peer Review Mechanism","2008-01-01","start-actual","2012-12-31","end-actual","UNDP","DAC","Sierra Leone","SLE","151","Government and civil society, general","15141","Government administration","Completion","2008","2012","568972.0","503146.0"
"SL/000998","1","Support to Electoral Process & Capacity Building of EMBs","2008-01-01","start-actual","2011-12-31","end-actual","UNDP","DAC","Sierra Leone","SLE","151","Government and civil society, general","15150","Strengthening civil society","Completion","2008","2011","682380.0","669459.0"
"SL/000999","1","Support to HIV/AIDS","2008-01-01","start-actual","2012-12-31","end-actual","UNDP","DAC","Sierra Leone","SLE","130","Population Policies / Programmes and Reproductive Health","13040","STD control including HIV/AIDS","Completion","2008","2012","706286.0","665733.0"
"SL/001000","1","Support to Parliament","2008-01-01","start-actual","2013-12-31","end-actual","UNDP","DAC","Sierra Leone","SLE","151","Government and civil society, general","15141","Government administration","Implementation","2008","2013","2381977.0","2212709.0"
"SL/001001","1","Support to Public Sector Reform & Capacity Development","2008-01-01","start-actual","2013-12-31","end-actual","UNDP","DAC","Sierra Leone","SLE","151","Government and civil society, general","15140","Government administration","Implementation","2008","2013","4574068.0","4365529.0"
"SL/001002","1","Enhancing Women's Participation in the Local Council Elections","2008-04-17","start-actual","2008-09-30","end-actual","USAID","USA","Sierra Leone","SLE","150","Government and civil society","15000","Government and civil society, combination of activities","Completion","2008","2008","1043985.0","1043985.0"
"SL/001003","1","Sierra Leone Poverty Reduction Budget Support Programme 2007/2008","2008-01-16","start-actual","2008-03-31","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","151","Government and civil society, general","15110","Economic and development policy/planning","Completion","2008","2008","23399681.0","20644369.0"
"SL/001004","1","Civil Service Reform Programme","2008-07-15","start-actual","2010-12-31","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","151","Government and civil society, general","15140","Government administration","Completion","2008","2010","1143335.0","1145754.0"
"SL/001005","1","Western Area Power Gen. Phase I","2005-08-08","start-actual","2013-12-31","end-actual","Arab Bank for Economic Development in Africa (BADEA)","DAC","Sierra Leone","SLE","230","Energy Generation and Supply","23000","Energy generation and supply, combinations ofpurposes","Implementation","2005","2013","9244120.0","8845464.0"
"SL/001006","1","Western Area Power Gen. Phase II","2006-04-12","start-actual","2013-12-31","end-actual","Arab Bank for Economic Development in Africa (BADEA)|Saudi Arabia","SAU|DAC","Sierra Leone","SLE","230","Energy Generation and Supply","23000","Energy generation and supply, combinations ofpurposes","Implementation","2006","2013","9189438.0","8793719.0"
"SL/001007","1","Kabala Water Supply","2006-06-26","start-actual","2013-12-31","end-actual","Arab Bank for Economic Development in Africa (BADEA)|Islamic Development Bank (IDB)","DAC","Sierra Leone","SLE","140","Water Supply and Sanitation","14020","Water supply and sanitation - large systems","Implementation","2006","2013","3092149.0","3091370.0"
"SL/001008","1","Diversified Food Production","2006-12-14","start-actual","2013-12-31","end-actual","Islamic Development Bank (IDB)","DAC","Sierra Leone","SLE","311","Agriculture","31120","Agricultural development","Implementation","2006","2013","3700393.0","3700393.0"
"SL/001011","1","Reproductive and Child Health Phase I","2007-04-18","start-actual","2009-12-31","end-actual","World Bank","DAC","Sierra Leone","SLE","130","Population Policies / Programmes and Reproductive Health","13020","Reproductive health care","Completion","2007","2009","4598719.0","4598719.0"
"SL/001012","1","Support to electoral reform and the National Electoral Commission","2007-01-01","start-actual","2008-01-01","end-actual","Irish Aid","IRL","Sierra Leone","SLE","151","Government and civil society, general","15150","Strengthening civil society","Completion","2007","2008","2540809.0","2540809.0"
"SL/001013","1","Support to Local Elections","2008-01-01","start-actual","2009-01-01","end-actual","Irish Aid","IRL","Sierra Leone","SLE","151","Government and civil society, general","15150","Strengthening civil society","Completion","2008","2009","",""
"SL/001014","1","Strengthening Media in Sierra Leone","2006-11-13","start-actual","2008-11-13","end-actual","Irish Aid","IRL","Sierra Leone","SLE","220","Communications","22030","Radio/television/print media","Completion","2006","2008","522905.0","522905.0"
"SL/001015","1","Foundation Hirondelle's STAR radio training","2007-11-14","start-actual","2008-11-14","end-actual","Irish Aid","IRL","Sierra Leone","SLE","220","Communications","22030","Radio/television/print media","Completion","2007","2008","33737.0","33737.0"
"SL/001016","1","Increased women and youth political participation in Sierra Leone","2006-11-13","start-actual","2008-11-13","end-actual","Irish Aid","IRL","Sierra Leone","SLE","151","Government and civil society, general","15150","Strengthening civil society","Completion","2006","2008","784358.0","784357.0"
"SL/001017","1","Support to the Special Court in Sierra Leone","2007-02-21","start-actual","2008-02-21","end-actual","Irish Aid","IRL","Sierra Leone","SLE","151","Government and civil society, general","15130","Legal and judicial development","Completion","2007","2008","762242.0","762242.0"
"SL/001018","1","Promoting sustainable human development in Africa","2007-11-13","start-actual","2008-11-13","end-actual","Irish Aid","IRL","Sierra Leone","SLE","151","Government and civil society, general","15150","Strengthening civil society","Completion","2007","2008","63519.0","63519.0"
"SL/001019","1","Capacity Building Development of the National HUman Rights Commission of Sierra Leone","2007-11-14","start-actual","2008-11-14","end-actual","Irish Aid","IRL","Sierra Leone","SLE","151","Government and civil society, general","15150","Strengthening civil society","Completion","2007","2008","381120.0","381120.0"
"SL/001020","1","Private Sector Development","2006-11-13","start-actual","2008-11-13","end-actual","Irish Aid","IRL","Sierra Leone","SLE","250","Business and Other Services","25010","Business support services and institutions","Completion","2006","2008","869132.0","784359.0"
"SL/001021","1","Post Election Assessment Retreat and Election Audit","2007-12-05","start-actual","2008-12-05","end-actual","Irish Aid","IRL","Sierra Leone","SLE","151","Government and civil society, general","15150","Strengthening civil society","Completion","2007","2008","29781.0","29781.0"
"SL/001022","1","Support to the National youth employment programme in Sierra Leone","2006-11-13","start-actual","2008-11-13","end-actual","Irish Aid","IRL","Sierra Leone","SLE","160","Other Social Infrastructure and Services","16010","Social/ welfare services","Completion","2006","2008","2765531.0","2765531.0"
"SL/001023","1","Prevention and Response to GBV","2007-05-22","start-actual","2008-05-30","end-actual","Irish Aid","IRL","Sierra Leone","SLE","122","Basic health","12261","Health education","Completion","2007","2008","317601.0","317601.0"
"SL/001024","1","Strengthening of UNAIDS country office in Sierra Leone","2007-11-14","start-actual","2008-11-14","end-actual","Irish Aid","IRL","Sierra Leone","SLE","130","Population Policies / Programmes and Reproductive Health","13040","STD control including HIV/AIDS","Completion","2007","2008","317601.0","317601.0"
"SL/001025","1","HIV/AIDS Response","2007-07-01","start-actual","2008-07-03","end-actual","Irish Aid","IRL","Sierra Leone","SLE","130","Population Policies / Programmes and Reproductive Health","13040","STD control including HIV/AIDS","Completion","2007","2008","513047.0","444642.0"
"SL/001026","1","The Rainbo Initiative: Building a national sexual assault response network","2006-04-01","start-actual","2008-04-01","end-actual","Irish Aid","IRL","Sierra Leone","SLE","120","Health","12005","Health, purpose unspecified","Completion","2006","2008","784358.0","784357.0"
"SL/001027","1","Averting maternal and newborn morbidity and mortality in Kenema district","2006-08-01","start-actual","2008-08-01","end-actual","Irish Aid","IRL","Sierra Leone","SLE","130","Population Policies / Programmes and Reproductive Health","13020","Reproductive health care","Completion","2006","2008","784358.0","784357.0"
"SL/001028","1","Support of the reproductive and child health strategic plan for Sierra Leone","2007-12-05","start-actual","2008-12-05","end-actual","Irish Aid","IRL","Sierra Leone","SLE","120","Health","12005","Health, purpose unspecified","Completion","2007","2008","1270404.0","1270404.0"
"SL/001029","1","Multi Annual Programme Scheme","2007-01-01","start-actual","2007-12-31","end-actual","Irish Aid","IRL","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","2007","2007","1178111.0","1178111.0"
"SL/001030","1","Multi Annual Programme Scheme","2007-01-01","start-actual","2007-12-31","end-actual","Irish Aid","IRL","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","2007","2007","1625076.0","1625076.0"
"SL/001031","1","Multi Annual Programme Scheme","2007-01-01","start-actual","2007-12-31","end-actual","Irish Aid","IRL","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","2007","2007","1023957.0","1023957.0"
"SL/001032","1","Multi Annual Programme Scheme","2007-01-01","start-actual","2007-12-31","end-actual","Irish Aid","IRL","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","2007","2007","161981.0","161981.0"
"SL/001033","1","Sightsavers","2007-01-01","start-actual","","","Irish Aid","IRL","Sierra Leone","SLE","160","Other Social Infrastructure and Services","16010","Social/ welfare services","Completion","2007","2007","254080.0","254080.0"
"SL/001034","0","Environmental Foundation for Africa","2007-01-01","start-actual","","","Irish Aid","IRL","Sierra Leone","SLE","410","General environmental protection","41005","General environmental protection,purpose unspecified","Completion","2007","2007","108279.0","108279.0"
"SL/001035","1","Handicap International","2007-01-01","start-actual","","","Irish Aid","IRL","Sierra Leone","SLE","151","Government and civil society, general","15150","Strengthening civil society","Completion","2007","2007","153762.0","153762.0"
"SL/001036","1","Missionary Development Fund","2007-01-01","start-actual","","","Irish Aid","IRL","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","2007","2007","165078.0","165078.0"
"SL/001041","1","Cross Sectoral and Project Costs","2007-01-01","start-actual","2009-12-31","","UNICEF","DAC","Sierra Leone","SLE","120|140|111","Health|Water Supply and Sanitation|Education, level unspecified","12005|14000|11105","Health, purpose unspecified|Water Supply and Sanitation, combination of purposes|Education, level unspecified,purpose unspecified","Completion","2007","2009","5042848.0","3262977.0"
"SL/001045","1","Support to Sierra Leone elections","2006-12-31","start-actual","2007-12-30","","Government of Norway","NOR","Sierra Leone","SLE","151","Government and civil society, general","15150","Strengthening civil society","Completion","2006","2007","115864.0","115864.0"
"SL/001046","1","Electoral Reform","2005-09-07","start-actual","2007-12-31","","UNDP","DAC","Sierra Leone","SLE","151","Government and civil society, general","15150","Strengthening civil society","Completion","2005","2007","788975.0","684192.0"
"SL/001049","1","Youth Enterprise Development","2007-05-11","start-actual","2010-12-30","","Peacebuilding Fund","DAC","Sierra Leone","SLE","160","Other Social Infrastructure and Services","16010","Social/ welfare services","Completion","2007","2010","4354899.0","4318860.0"
"SL/001050","1","Rehabilitation of Water and Sanitation Facilities for RSLAF Barracks in Freetown","2007-07-18","start-actual","2009-12-31","","Peacebuilding Fund","DAC","Sierra Leone","SLE","152","Conflict prevention and resolution, peace and security","15210","Security system management and reform","Completion","2007","2009","2087012.0","1844654.0"
"SL/001052","1","UN Support to the National Youth Employment Scheme","2007-01-01","start-actual","2011-12-31","","UNDP","DAC","Sierra Leone","SLE","160","Other Social Infrastructure and Services","16010","Social/ welfare services","Completion","2007","2011","213428.0",""
"SL/001054","1","Capacity Building in the Electoral Process","2005-03-07","start-actual","2006-03-07","","Irish Aid","IRL","Sierra Leone","SLE","151","Government and civil society, general","15150","Strengthening civil society","Completion","2005","2006","776429.0","776429.0"
"SL/001055","1","IRC 05 04 - Improve health, Implement effective interventions to reduce maternal death and disability","2005-05-01","start-actual","2006-05-01","","Irish Aid","IRL","Sierra Leone","SLE","130","Population Policies / Programmes and Reproductive Health","13020","Reproductive health care","Completion","2005","2006","420560.0","420560.0"
"SL/001056","1","UNDP 05 09 Literacy Programme","2005-03-07","start-actual","2006-03-07","","Irish Aid","IRL","Sierra Leone","SLE","311","Agriculture","31120","Agricultural development","Completion","2005","2006","124228.0","109260.0"
"SL/001057","1","UNDP 05 03 Decentrallisation of Agriculture","2005-05-24","start-actual","2006-05-24","","Irish Aid","IRL","Sierra Leone","SLE","311","Agriculture","31120","Agricultural development","Completion","2005","2006","736094.0","691210.0"
"SL/001058","1","UNDP 05 08 Environmentla Sanitation Programme","2005-11-07","start-actual","2006-11-07","","Irish Aid","IRL","Sierra Leone","SLE","140","Water Supply and Sanitation","14000","Water Supply and Sanitation, combination of purposes","Completion","2005","2006","375585.0","311736.0"
"SL/001059","1","UNAIDS 05 01 HIV/AIDS Community Programme","2005-11-07","start-actual","2006-11-07","","Irish Aid","IRL","Sierra Leone","SLE","130","Population Policies / Programmes and Reproductive Health","13040","STD control including HIV/AIDS","Completion","2005","2006","362623.0",""
"SL/001060","1","FAO 05 01","2005-11-07","start-actual","2006-11-07","","Irish Aid","IRL","Sierra Leone","SLE","311","Agriculture","31120","Agricultural development","Completion","2005","2006","286810.0","286810.0"
"SL/001061","1","TRO 05 03 Reconstruction","2005-11-07","start-actual","2006-11-07","","Irish Aid","IRL","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","2005","2006","206229.0","206229.0"
"SL/001062","1","PACA 05 01 Mining","2005-11-07","start-actual","2006-11-07","","Irish Aid","IRL","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","2005","2006","136575.0","136575.0"
"SL/001063","1","MSF 05 03 Emergency Healthcare","2005-11-07","start-actual","2006-11-07","","Irish Aid","IRL","Sierra Leone","SLE","120","Health","12005","Health, purpose unspecified","Completion","2005","2006","416557.0","416557.0"
"SL/001064","1","SCSL 05 01 Support to court","2005-11-07","start-actual","2006-11-07","","Irish Aid","IRL","Sierra Leone","SLE","151","Government and civil society, general","15130","Legal and judicial development","Completion","2005","2006","273152.0","273152.0"
"SL/001065","1","SLSC 06 01Special Court","2006-04-21","start-actual","2007-04-21","","Irish Aid","IRL","Sierra Leone","SLE","151","Government and civil society, general","15130","Legal and judicial development","Completion","2006","2007","827195.0","827195.0"
"SL/001066","1","NEC 06 01 Support to elections","2006-09-08","start-actual","2007-09-08","","Irish Aid","IRL","Sierra Leone","SLE","151","Government and civil society, general","15150","Strengthening civil society","Completion","2006","2007","699873.0","699873.0"
"SL/001067","1","MSF 06 01 Helath Care","2006-04-01","start-actual","2007-03-31","","Irish Aid","IRL","Sierra Leone","SLE","120","Health","12005","Health, purpose unspecified","Completion","2006","2007","261452.0","275731.0"
"SL/001068","1","PACA 06 01 Mining","2006-07-01","start-actual","2007-07-01","","Irish Aid","IRL","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","2006","2007","196089.0","206798.0"
"SL/001069","1","UNAIDS  06 02 HIV/AIDS","2006-11-23","start-actual","2007-11-23","","Irish Aid","IRL","Sierra Leone","SLE","130","Population Policies / Programmes and Reproductive Health","13040","STD control including HIV/AIDS","Completion","2006","2007","331821.0","331821.0"
"SL/001070","1","UNDP 06 03 Country Programme","2006-03-30","start-actual","2007-03-30","","Irish Aid","IRL","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","2006","2007","1307265.0","1378659.0"
"SL/001071","1","Multi Annual Programme Scheme","2005-01-01","start-actual","2005-12-31","","Irish Aid","IRL","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","2005","2005","1757306.0","1757306.0"
"SL/001072","1","Multi Annual Programme Scheme","2005-01-01","start-actual","2005-12-31","","Irish Aid","IRL","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","2005","2005","791037.0","791037.0"
"SL/001073","1","Multi Annual Programme Scheme","2005-01-01","start-actual","2005-12-31","","Irish Aid","IRL","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","2005","2005","937188.0","937188.0"
"SL/001074","1","Multi Annual Programme Scheme","2005-01-01","start-actual","2005-12-31","","Irish Aid","IRL","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","2005","2005","117786.0","117786.0"
"SL/001075","1","Multi Annual Programme Scheme","2006-01-01","start-actual","2006-12-31","","Irish Aid","IRL","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","2006","2006","1307939.0","1307939.0"
"SL/001076","1","Multi Annual Programme Scheme","2006-01-01","start-actual","2006-12-31","","Irish Aid","IRL","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","2006","2006","653828.0","653828.0"
"SL/001077","1","Multi Annual Programme Scheme","2006-01-01","start-actual","2006-12-31","","Irish Aid","IRL","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","2006","2006","1269670.0","1269670.0"
"SL/001078","1","Multi Annual Programme Scheme","2006-01-01","start-actual","2006-12-31","","Irish Aid","IRL","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","2006","2006","109777.0","109777.0"
"SL/001079","1","Promoting Agriculture, Governance and the Environment (PAGE)","2008-07-31","start-actual","2013-07-31","","USAID","USA","Sierra Leone","SLE","312|321|151|311|311","Forestry|Industry|Government and civil society, general|Agriculture|Agriculture","31210|32120|15140|31120|31120","Forestry policy and administrative management|Industrial development|Government administration|Agricultural development|Agricultural development","Completion","2008","2013","15914522.0","15914522.0"
"SL/001080","1","Support to the National Agricultural Response Programm","2008-12-01","start-actual","2009-11-30","","Irish Aid","IRL","Sierra Leone","SLE","311","Agriculture","31120","Agricultural development","Completion","2008","2009","2354855.0","2354855.0"
"SL/001081","1","IRC 08 06 A coordinated multi sector approach to addressing GBV","2008-12-15","start-actual","2009-12-15","","Irish Aid","IRL","Sierra Leone","SLE","151","Government and civil society, general","15150","Strengthening civil society","Completion","2008","2009","627961.0","549538.0"
"SL/001082","1","IRC 08 05 - Averting maternal  and newborn mortality and morbidity through health system strengthening","2008-12-01","start-actual","2009-12-01","","Irish Aid","IRL","Sierra Leone","SLE","130","Population Policies / Programmes and Reproductive Health","13020","Reproductive health care","Completion","2008","2009","518067.0","518067.0"
"SL/001083","1","HIR 08 01 - Strengthening media in Sierra Leone","2008-12-01","start-actual","2009-04-01","","Irish Aid","IRL","Sierra Leone","SLE","150","Government and civil society","15000","Government and civil society, combination of activities","Completion","2008","2009","345378.0","345378.0"
"SL/001085","0","Resettlement and reintegration","2000-01-01","start-actual","2004-12-31","","UNDP","DAC","Sierra Leone","SLE","152","Conflict prevention and resolution, peace and security","15205","Conflict prevention and resolution, peace and security, purpose unspecified or does not fit under any other applicable codes","Completion","2000","2004","128678.0","128678.0"
"SL/001086","0","2003 C/S Balance","2005-01-01","start-actual","2005-12-31","","UNDP","DAC","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","","2005","2005","1.0","532505.0"
"SL/001087","1","HIR 09 01 - Strengthening media in Sierra Leone","2009-04-06","start-actual","2010-12-31","","Irish Aid","IRL","Sierra Leone","SLE","220","Communications","22030","Radio/television/print media","Completion","2009","2010","396330.0","396330.0"
"SL/001088","1","Sierra Leone Poverty Reduction Budget Support Programme 2009/10 and 2010/11","2009-02-25","start-actual","2011-02-25","","Department for International Development (DFID)","GBR","Sierra Leone","SLE","151","Government and civil society, general","15110","Economic and development policy/planning","Completion","2009","2011","36034781.0","36256800.0"
"SL/001089","1","Integrated Public Financial Management Reform Programme","2008-09-23","start-actual","2014-10-31","","Department for International Development (DFID)","GBR","Sierra Leone","SLE","151","Government and civil society, general","15110","Economic and development policy/planning","Implementation","2008","2014","7042452.0","6693957.0"
"SL/001090","1","Strategic Support to the Sierra Leone Security Sector 2009-10.","2009-04-01","start-actual","2010-03-31","","Department for International Development (DFID)","GBR","Sierra Leone","SLE","152","Conflict prevention and resolution, peace and security","15210","Security system management and reform","Completion","2009","2010","395198.0","395198.0"
"SL/001091","1","Support for ODI (Overseas Development Institute) Fellows to the Ministries of Finance and Agriculture 2007-2009","2007-12-17","start-actual","2009-09-01","","Department for International Development (DFID)","GBR","Sierra Leone","SLE","510","General budget support","51010","General budget support","Completion","2007","2009","153982.0","153982.0"
"SL/001092","1","Support to TAP - Capacity Dev. of MTEF Tech. Committee","2008-01-01","start-actual","2008-12-31","","UNDP","DAC","Sierra Leone","SLE","151","Government and civil society, general","15110","Economic and development policy/planning","","2008","2008","41253.0","40915.0"
"SL/001093","1","Development of sustainable pro-poor finance","2008-01-01","start-actual","2013-12-31","","UNDP","DAC","Sierra Leone","SLE","311","Agriculture","31120","Agricultural development","Completion","2008","2013","2079159.0","1893791.0"
"SL/001094","1","Enterprise Development","2008-01-01","start-actual","2012-12-31","","UNDP","DAC","Sierra Leone","SLE","311","Agriculture","31120","Agricultural development","Completion","2008","2012","488629.0","484774.0"
"SL/001095","1","Peace building and reconciliation","2008-01-31","start-actual","2009-12-31","","UNDP","DAC","Sierra Leone","SLE","152","Conflict prevention and resolution, peace and security","15210","Security system management and reform","Completion","2008","2009","574192.0","562268.0"
"SL/001096","1","Preventive Development Support","2008-01-31","start-actual","2013-12-31","","UNDP","DAC","Sierra Leone","SLE","151|140","Government and civil society, general|Water Supply and Sanitation","15140|14050","Government administration|Waste management/disposal","Implementation","2008","2013","1829585.0","1688925.0"
"SL/001097","1","Kenema District Economic Recovery Programme (KDERP)","2008-01-01","start-actual","2011-12-31","","UNDP","DAC","Sierra Leone","SLE","151","Government and civil society, general","15140","Government administration","Completion","2008","2011","1041897.0","386026.0"
"SL/001098","1","UNDP-UNIDO Joint Private Sector Development Initiative","2008-01-01","start-actual","2009-12-31","","UNDP|Irish Aid","IRL|DAC","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","2008","2009","71687.0","71685.0"
"SL/001099","1","Emergency Support to Energy Sector","2008-08-27","start-actual","2009-08-27","","Peacebuilding Fund","DAC","Sierra Leone","SLE","230","Energy Generation and Supply","23000","Energy generation and supply, combinations ofpurposes","Completion","2008","2009","9395872.0","9283964.0"
"SL/001100","1","Support to the Office of National Security","2008-09-01","start-actual","2010-06-30","","Peacebuilding Fund","DAC","Sierra Leone","SLE","152","Conflict prevention and resolution, peace and security","15210","Security system management and reform","Completion","2008","2010","1652040.0","1642094.0"
"SL/001101","1","Support to Government's capacity for engagement on peace building issues","2008-08-14","start-actual","2009-08-14","","Peacebuilding Fund","DAC","Sierra Leone","SLE","151","Government and civil society, general","15141","Government administration","Completion","2008","2009","249396.0","249396.0"
"SL/001102","1","Support to capacity building and programmes of the National Anti-Corruption Secretariat","2008-08-14","start-actual","2009-08-14","","Peacebuilding Fund","DAC","Sierra Leone","SLE","151","Government and civil society, general","15120","Public sector financial management","Completion","2008","2009","242499.0","242499.0"
